FoodID,FoodCode,FoodGroupID,FoodSourceID,FoodDescription,FoodDescriptionF,FoodDateOfEntry,FoodDateOfPublication,CountryCode,ScientificName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,1,3,"Cheese, cream",Fromage ?la cr鑝e,1981-01-01,,01017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,1,0,"Cheese, edam",Fromage edam,1981-01-01,,01018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,1,0,"Cheese, fontina",Fromage fontina,1981-01-01,,01020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,1,0,"Cheese, gjetost",Fromage gjetost,1981-01-01,,01021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,1,0,"Cheese, gruyere",Fromage gruy鑢e,1981-01-01,,01023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,1,3,"Cheese, limburger",Fromage limburger (limbourg),1981-01-01,,01024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,1,3,"Cheese, monterey",Fromage monterey,1981-01-01,,01025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,1,0,"Cheese, mozzarella, (48% water, 25% M.F.)",Fromage mozzarella (48%d'humidit? 25% M.G.),1981-01-01,,01027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,1,0,"Cheese, muenster",Fromage muenster,1981-01-01,,01030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,1,0,"Cheese, neufchatel",Fromage neufchatel,1981-01-01,,01031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,1,0,"Cheese, parmesan, dry grated","Fromage parmesan, r鈖?,1981-01-01,,01032,
40,40,1,3,Cheese", parmesan," hard""","Fromage parmesan, p鈚e dure",1981-01-01,,01033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,1,0,"Cheese, port-salut",Fromage port-salut,1981-01-01,,01034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,1,0,"Cheese, provolone",Fromage provolone,1981-01-01,,01035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,1,0,"Cheese, ricotta, with whole milk","Fromage ricotta, avec lait entier",1981-01-01,,01036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,1,0,"Cheese, ricotta, with partly skimmed milk","Fromage ricotta, avec lait partiellement 閏r閙?,1981-01-01,,01037,
45,45,1,3,Cheese"," romano""",Fromage romano,1981-01-01,,01038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,1,0,"Cheese, roquefort (blue)",Fromage roquefort (bleu),1981-01-01,,01039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,1,3,"Cheese, swiss (emmental)",Fromage suisse (emmental),1981-01-01,,01040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,1,3,"Cheese, tilsit, with whole milk","Fromage tilsit, avec lait entier",1981-01-01,,01041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,1,0,"Cheese, processed, cheddar, cold pack","Fromage fondu, pr閜aration, cheddar, conditionn??froid",1981-01-01,,01045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,1,0,"Cheese, processed food, swiss, loaf","Fromage fondu, pr閜aration, Suisse, pain",1981-01-01,,01047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,1,0,"Cream, whipped, cream topping, pressurized","Cr鑝e, garniture fouett閑, sous pression (bombe)",1981-01-01,,01054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,1,0,"Eggnog, 7% M.F., Canadian product, 4% to 8% M.F.","Lait de poule, 7% M.G., produit canadien, 4% ?8% M.G.",1981-01-01,,01057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,1,0,"Coffee whitener (non dairy), liquid","Colorant ?caf?(non laitier), liquide",1981-01-01,,01067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,1,0,"Dessert topping (non dairy), powdered","Garniture ?dessert (non laiti鑢e), poudre",1981-01-01,,01070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,1,0,"Dessert topping (non dairy), powdered, prepared with whole milk","Garniture ?dessert (non laiti鑢e), poudre, pr閜ar閑 avec lait entier",1981-01-01,,01071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,1,0,"Dessert topping (non dairy), pressurized","Garniture ?dessert (non laiti鑢e), sous pression (bombe)",1981-01-01,,01072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,1,0,"Dessert topping (non dairy), frozen, semisolid","Garniture ?dessert (non laiti鑢e), congel閑, semi-solide",1981-01-01,,01073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,1,0,"Milk, fluid, partly skimmed, 2% M.F.","Lait, partiellement 閏r閙? liquide, 2% M.G.",1981-01-01,,01079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63,1,0,"Milk, fluid, partly skimmed, 1% M.F.","Lait, liquide, partiellement 閏r閙? 1% M.G.",1989-01-01,,01082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66,1,1,"Milk, dry whole","Lait, poudre, entier",1981-01-01,,01090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
